Orð;Mark;Lemma;Leiðrétt mark;Leiðrétt lemma
var;sfg3eþ;vera;;
kölluð;sþgven;kalla;;
Þorbjörg;nven-s;Þorbjörg;;
digra;lvenvf;digur;;
,;punct;,;;
dóttir;nven;dóttir;;
Ólafs;nkee-s;Ólafur;;
pá;lvensf;pár;;
.;punct;.;;
Hún;fpven;hún;;
var;sfg3eþ;vera;;
vitur;lvensf;vitur;;
kona;nven;kona;;
og;c;og;;
stórlynd;lvensf;stórlyndur;;
.;punct;.;;
Jafnan;aa;jafnan;;
er;c;er;;
Vermundur;nken-s;Vermundur;;
var;sfg3eþ;vera;;
eigi;aa;eigi;;
heima;aa;heima;;
þá;aa;þá;;
réð;sfg3eþ;ráða;;
hún;fpven;hún;;
fyrir;aþ;fyrir;;
héraði;nheþ;hérað;;
og;c;og;;
fyrir;aþ;fyrir;;
mönnum;nkfþ;maður;;
og;c;og;;
þótti;sfg3eþ;þykja;;
hverjum;fokeþ;hver;;
manni;nkeþ;maður;;
sínu;feheþ;sinn;;
máli;nheþ;mál;;
vel;aa;vel;;
komið;sþghen;koma;;
er;c;er;;
hún;fpven;hún;;
réð;sfg3eþ;ráða;;
fyrir;aa;fyrir;;
.;punct;.;;
Það;fphen;það;;
barst;sfm3eþ;bera;;
að;aþ;að;;
einhverju;foheþ;einhver;;
sinni;nheþ;sinn;;
þá;aa;þá;;
er;c;er;;
Vermundur;nken-s;Vermundur;;
var;sfg3eþ;vera;;
eigi;aa;eigi;;
heima;aa;heima;;
að;c;að;;
Grettir;nken-s;Grettir;;
Ásmundarson;nken-s;Ásmundarson;;
kom;sfg3eþ;koma;;
í;ao;í;;
Ísafjörð;nkeo-s;Ísafjörður;;
þá;aa;þá;;
er;c;er;;
hann;fpken;hann;;
var;sfg3eþ;vera;;
sekur;lkensf;sekur;;
,;punct;,;;
og;c;og;;
þar;aa;þar;;
sem;c;sem;;
hann;fpken;hann;;
kom;sfg3eþ;koma;;
hafði;sfg3eþ;hafa;;
hann;fpken;hann;;
það;fpheo;það;;
nær;aa;nær;;
af;aþ;af;;
hverjum;fokeþ;hver;;
er;sfg3en;vera;;
hann;fpken;hann;;
kallaði;sfg3eþ;kalla;;
.;punct;.;;
Og;c;og;;
þó;aa;þó;;
að;c;að;;
hann;fpken;hann;;
kallaði;sfg3eþ;kalla;;
það;fpheo;það;;
gefið;lheosf;gefinn;;
eða;c;eða;;
þeir;fakfn;sá;;
er;ct;er;;
laust;aa;laust;;
létu;sfg3fþ;láta;;
féið;nheog;fé;;
þá;aa;þá;;
voru;sfg3fþ;vera;;
þær;fpvfn;hún;;
gjafir;nvfn;gjöf;;
þann;fakeo;sá;;
veg;nkeo;vegur;;
að;c;að;;
margir;lkfnsf;margur;;
menn;nkfn;maður;;
mundu;svg3fþ;munu;;
sitt;feheo;sinn;;
fé;nheo;fé;;
eigi;aa;eigi;;
laust;lheosf;laus;;
láta;sng;láta;;
fyrir;aþ;fyrir;;
honum;fpkeþ;hann;;
ef;c;ef;;
þeim;fpkfþ;hann;;
sýndist;sfm3eþ;sýna;;
eigi;svg3fn;eiga;;
tröll;nhfo;tröll;;
fyrir;aþ;fyrir;;
dyrum;nvfþ;dyr;;
.;punct;.;;
Því;aa;því;;
söfnuðu;sfg3fþ;safna;;
bændur;nkfn;bóndi;;
sér;fpkfþ;sig;;
liði;nheþ;lið;;
og;c;og;;
tóku;sfg3fþ;taka;;
Gretti;nkeo-s;Grettir;;
höndum;nvfþ;hönd;;
og;c;og;;
dæmdu;sfg3fþ;dæma;;
hann;fpkeo;hann;;
til;ae;til;;
dráps;nhee;dráp;;
og;c;og;;
reistu;sfg3fþ;reisa;;
honum;fpkeþ;hann;;
gálga;nkfo;gálgi;;
og;c;og;;
ætluðu;sfg3fþ;ætla;;
að;cn;að;;
hengja;sng;hengja;;
hann;fpkeo;hann;;
.;punct;.;;
Og;c;og;;
er;sfg3en;vera;;
Þorbjörg;nven-s;Þorbjörg;;
veit;sfg3en;vita;;
þessa;faveo;þessi;;
fyrirætlan;nveo;fyrirætlan;;
fór;sfg3eþ;fara;;
hún;fpven;hún;;
með;ao;með;;
húskarla;nkfo;húskarl;;
sína;fekfo;sinn;;
til;ae;til;;
þess;fakee;sá;;
mannfundar;nkee;mannfundur;;
er;ct;er;;
Grettir;nken-s;Grettir;;
var;sfg3eþ;vera;;
dæmdur;sþgken;dæma;;
.;punct;.;;
Og;c;og;;
þar;aa;þar;;
kom;sfg3eþ;koma;;
hún;fpven;hún;;
að;c;að;;
sem;ct;sem;;
gálginn;nkeng;gálgi;;
var;sfg3eþ;vera;;
reistur;sþgken;reisa;;
og;c;og;;
snaran;nveng;snara;;
þar;aa;þar;;
við;aa;við;;
fest;lvensf;festur;;
og;c;og;;
Grettir;nken-s;Grettir;;
þegar;c;þegar;;
til;ae;til;;
leiddur;lkensf;leiddur;;
og;c;og;;
stóð;sfg3eþ;standa;;
það;fphen;það;;
eitt;tfhen;einn;;
fyrir;aþ;fyrir;;
lífláti;nheþ;líflát;;
hans;fpkee;hann;;
er;c;er;;
menn;nkfn;maður;;
sáu;sfg3fþ;sjá;;
för;nveo;för;;
Þorbjargar;nvee-s;Þorbjörg;;
.;punct;.;;
Og;c;og;;
er;c;er;;
hún;fpven;hún;;
kom;sfg3eþ;koma;;
til;ae;til;;
mannfundar;nkee;mannfundur;;
þess;fphee;það;;
þá;aa;þá;;
spyr;sfg3en;spyrja;;
hún;fpven;hún;;
hvað;fsheo;hver;;
menn;nkfn;maður;;
ætluðust;sfm3fþ;ætla;;
þar;aa;þar;;
fyrir;aa;fyrir;;
.;punct;.;;
Þeir;fpkfn;hann;;
sögðu;sfg3fþ;segja;;
sína;feveo;sinn;;
fyrirætlan;nveo;fyrirætlan;;
.;punct;.;;
Hún;fpven;hún;;
segir;sfg3en;segja;;
:;punct;:;;
«;punct;«;;
Óráðlegt;lhensf;óráðlegur;;
sýnist;sfm3en;sýna;;
mér;fp1eþ;ég;;
það;fpheo;það;;
að;c;að;;
þér;fp2eþ;þú;;
drepið;ssg;drepa;;
hann;fpkeo;hann;;
því;fpheþ;það;;
að;c;að;;
hann;fpken;hann;;
er;sfg3en;vera;;
ættstór;lkensf;ættstór;;
maður;nken;maður;;
og;c;og;;
mikils;lheesf;mikill;;
verður;sfg3en;verða;;
fyrir;ao;fyrir;;
afls;nhee;afl;;
sakir;nvfo;sök;;
og;c;og;;
margrar;lveesf;margur;;
atgervi;nvee;atgervi;;
þó;aa;þó;;
að;c;að;;
hann;fpken;hann;;
sé;svg3en;vera;;
eigi;aa;eigi;;
gæfumaður;nken;gæfumaður;;
í;aþ;í;;
öllum;fokfþ;allur;;
hlutum;nkfþ;hlutur;;
og;c;og;;
mun;sfg3en;munu;;
frændum;nkfþ;frændi;;
hans;fpkee;hann;;
þykja;sng;þykja;;
skaði;nken;skaði;;
um;ao;um;;
hann;fpkeo;hann;;
þótt;c;þótt;;
hann;fpken;hann;;
sé;svg3en;vera;;
við;ao;við;;
marga;lkfosf;margur;;
menn;nkfo;maður;;
ódæll;lkensf;ódæll;;
.;punct;.;;
»;punct;»;;
Þeir;fpkfn;hann;;
segja;sfg3fn;segja;;
:;punct;:;;
«;punct;«;;
Ólífismaður;nken;ólífismaður;;
sýnist;sfm3en;sýna;;
oss;fp1fþ;vér;;
hann;fpken;hann;;
vera;sng;vera;;
því;fpheþ;það;;
að;c;að;;
hann;fpken;hann;;
er;sfg3en;vera;;
skógarmaður;nken;skógarmaður;;
og;c;og;;
sannur;lkensf;sannur;;
ránsmaður;nken;ránsmaður;;
.;punct;.;;
»;punct;»;;
Þorbjörg;nven-s;Þorbjörg;;
mælti;sfg3eþ;mæla;;
:;punct;:;;
«;punct;«;;
Eigi;aa;eigi;;
mun;sfg3en;munu;;
hann;fpken;hann;;
nú;aa;nú;;
að;aþ;að;;
sinni;nheþ;sinn;;
af;aþ;af;;
lífi;nheþ;líf;;
tekinn;sþgken;taka;;
ef;c;ef;;
eg;fp1en;eg;;
má;sfg1en;mega;;
ráða;sng;ráða;;
.;punct;.;;
»;punct;»;;
Þeir;fpkfn;hann;;
segja;sfg3fn;segja;;
:;punct;:;;
«;punct;«;;
Hafa;x;Hafa;;
muntu;sfg2en;munu;;
ríki;svg3en;ríkja;;
til;ae;til;;
þess;fphee;það;;
að;c;að;;
hann;fpken;hann;;
sé;svg3en;vera;;
eigi;aa;eigi;;
af;aþ;af;;
lífi;nheþ;líf;;
tekinn;sþgken;taka;;
hvort;c;hvort;;
sem;c;sem;;
það;fphen;það;;
er;sfg3en;vera;;
rétt;lhensf;réttur;;
eða;c;eða;;
rangt;lhensf;rangur;;
.;punct;.;;
»;punct;»;;
Þá;aa;þá;;
lét;sfg3eþ;láta;;
Þorbjörg;nven-s;Þorbjörg;;
leysa;sng;leysa;;
Gretti;nkeo-s;Grettir;;
og;c;og;;
gaf;sfg3eþ;gefa;;
honum;fpkeþ;hann;;
líf;nheo;líf;;
og;c;og;;
bað;sfg3eþ;biðja;;
hann;fpkeo;hann;;
fara;sng;fara;;
þangað;aa;þangað;;
sem;c;sem;;
hann;fpken;hann;;
vildi;sfg3eþ;vilja;;
.;punct;.;;
Af;aþ;af;;
þessum;fakeþ;þessi;;
atburð;nkeþ;atburður;;
kvað;sfg3eþ;kveða;;
Grettir;nken-s;Grettir;;
kviðling;nkeo;kviðlingur;;
þenna;fakeo;þenna;;
:;punct;:;;
Í;aþ;í;;
þessum;fakeþ;þessi;;
atburði;nkeþ;atburður;;
má;sfg3en;mega;;
hér;aa;hér;;
sýnast;snm;sýna;;
hversu;aa;hversu;;
mikill;lkensf;mikill;;
skörungur;nken;skörungur;;
hún;fpven;hún;;
var;sfg3eþ;vera;;
.;punct;.;;
Hávar;nken-s;Hávar;;
hét;sfg3eþ;heita;;
maður;nken;maður;;
.;punct;.;;
Hann;fpken;hann;;
var;sfg3eþ;vera;;
Kleppsson;nken-s;Kleppsson;;
.;punct;.;;
Hann;fpken;hann;;
bjó;sfg3eþ;búa;;
á;aþ;á;;
bæ;nkeþ;bær;;
þeim;fakeþ;sá;;
er;ct;er;;
heitir;sfg3en;heita;;
að;c;að;;
Jökulskeldu;nvee-s;Jökulskelda;;
.;punct;.;;
Hávar;nken-s;Hávar;;
var;sfg3eþ;vera;;
kynjaður;lkensf;kynjaður;;
sunnan;aa;sunnan;;
af;aþ;af;;
Akranesi;nheþ-s;Akranes;;
og;c;og;;
hafði;sfg3eþ;hafa;;
farið;ssg;fara;;
þaðan;aa;þaðan;;
fyrir;ao;fyrir;;
víga;lkeovf;vígur;;
sakir;nvfo;sök;;
því;fpheþ;það;;
að;c;að;;
hann;fpken;hann;;
mikill;lkensf;mikill;;
vígamaður;nken;vígamaður;;
og;c;og;;
hávaðamaður;nken;hávaðamaður;;
og;c;og;;
ódæll;lkensf;ódæll;;
.;punct;.;;
Hann;fpken;hann;;
átti;sfg3eþ;eiga;;
konu;nveo;kona;;
þá;faveo;sá;;
er;ct;er;;
Þórelfur;nven-s;Þórelfur;;
hét;sfg3eþ;heita;;
.;punct;.;;
Hún;fpven;hún;;
var;sfg3eþ;vera;;
breiðfirsk;lvensf;breiðfirskur;;
að;aþ;að;;
kyni;nheþ;kyn;;
.;punct;.;;
Hún;fpven;hún;;
var;sfg3eþ;vera;;
dóttir;nven;dóttir;;
Álfs;nkee-s;Álfur;;
úr;aþ;úr;;
Dölum;nkfþ-s;Dalur;;
,;punct;,;;
göfugs;lkeesf;göfugur;;
manns;nkee;maður;;
og;c;og;;
ágæts;lkeesf;ágætur;;
.;punct;.;;
Hávar;nken-s;Hávar;;
og;c;og;;
Þórelfur;nven-s;Þórelfur;;
áttu;sfg3fþ;eiga;;
son;nkeo;sonur;;
þann;fakeo;sá;;
er;ct;er;;
Þorgeir;nken-s;Þorgeir;;
hét;sfg3eþ;heita;;
.;punct;.;;
Hann;fpken;hann;;
var;sfg3eþ;vera;;
bráðger;lkensf;bráðger;;
maður;nken;maður;;
og;c;og;;
mikill;lkensf;mikill;;
vexti;nkeþ;vöxtur;;
og;c;og;;
sterkur;lkensf;sterkur;;
og;c;og;;
kappsfullur;lkensf;kappsfullur;;
.;punct;.;;
Hann;fpken;hann;;
nam;sfg3eþ;nema;;
á;aþ;á;;
unga;lkeþvf;ungur;;
aldri;nkeþ;aldur;;
að;cn;að;;
hlífa;sng;hlífa;;
sér;fpkeþ;sig;;
með;aþ;með;;
skildi;nkeþ;skjöldur;;
og;c;og;;
vega;nkfe;vegur;;
með;aþ;með;;
vopnum;nhfþ;vopn;;
.;punct;.;;
Bersi;nken-s;Bersi;;
hét;sfg3eþ;heita;;
maður;nken;maður;;
er;ct;er;;
bjó;sfg3eþ;búa;;
í;aþ;í;;
Ísafirði;nkeþ-s;Ísafjörður;;
.;punct;.;;
Hann;fpken;hann;;
bjó;sfg3eþ;búa;;
á;aþ;á;;
bæ;nkeþ;bær;;
þeim;fakeþ;sá;;
er;ct;er;;
á;ao;á;;
Dyrðilmýri;nveo-s;Dyrðilmýri;;
heitir;sfg3en;heita;;
.;punct;.;;
Hann;fpken;hann;;
átti;sfg3eþ;eiga;;
þá;faveo;sá;;
konu;nveo;kona;;
er;ct;er;;
Þorgerður;nven-s;Þorgerður;;
hét;sfg3eþ;heita;;
.;punct;.;;
Son;nken;son;;
þeirra;fphfe;það;;
hét;sfg3eþ;heita;;
Þormóður;nken-s;Þormóður;;
.;punct;.;;
Hann;fpken;hann;;
var;sfg3eþ;vera;;
þegar;aa;þegar;;
á;aþ;á;;
unga;lkeþvf;ungur;;
aldri;nkeþ;aldur;;
hvatur;lkensf;hvatur;;
maður;nken;maður;;
og;c;og;;
hugprúður;lkensf;hugprúður;;
,;punct;,;;
meðalmaður;nken;meðalmaður;;
vexti;nkeþ;vöxtur;;
,;punct;,;;
svartur;lkensf;svartur;;
á;ao;á;;
hárslit;nhfo;hárslit;;
og;c;og;;
hrokkinhærður;lkensf;hrokkinhærður;;
.;punct;.;;
Í;ao;í;;
þenna;fakeo;þenna;;
tíma;nkeo;tími;;
bjó;sfg3eþ;búa;;
á;aþ;á;;
Reykjahólum;nkfþ-s;Reykjahólar;;
á;aþ;á;;
Reykjanesi;nheþ-s;Reykjanes;;
Þorgils;nken-s;Þorgils;;
Arason;nken-s;Arason;;
.;punct;.;;
Hann;fpken;hann;;
var;sfg3eþ;vera;;
mikill;lkensf;mikill;;
höfðingi;nken;höfðingi;;
,;punct;,;;
vitur;lkensf;vitur;;
og;c;og;;
vinsæll;lkensf;vinsæll;;
,;punct;,;;
ríkur;lkensf;ríkur;;
og;c;og;;
ráðvandur;lkensf;ráðvandur;;
.;punct;.;;
Illugi;nken-s;Illugi;;
hét;sfg3eþ;heita;;
bróðir;nken;bróðir;;
hans;fpkee;hann;;
,;punct;,;;
hirðmaður;nken;hirðmaður;;
hins;gkee;hinn;;
heilaga;lkeevf;heilagur;;
Ólafs;nkee-s;Ólafur;;
konungs;nkee;konungur;;
.;punct;.;;
Hann;fpken;hann;;
var;sfg3eþ;vera;;
farmaður;nken;farmaður;;
mikill;lkensf;mikill;;
og;c;og;;
var;sfg3eþ;vera;;
jafnan;aa;jafnan;;
annan;fokeo;annar;;
vetur;nkeo;vetur;;
með;aþ;með;;
Ólafi;nkeþ-s;Ólafur;;
konungi;nkeþ;konungur;;
en;c;en;;
annan;fokeo;annar;;
á;aþ;á;;
Reykjahólum;nkfþ-s;Reykjahólar;;
.;punct;.;;
Hann;fpken;hann;;
hafði;sfg3eþ;hafa;;
út;aa;út;;
kirkjuvið;nkeo;kirkjuviður;;
og;c;og;;
skálavið;nkeo;skálaviður;;
.;punct;.;;
Þeir;fpkfn;hann;;
bræður;nkfn;bróðir;;
,;punct;,;;
Þorgils;nken-s;Þorgils;;
og;c;og;;
Illugi;nken-s;Illugi;;
,;punct;,;;
voru;sfg3fþ;vera;;
synir;nkfn;sonur;;
Ara;nkee-s;Ari;;
Mássonar;nkee-s;Másson;;
,;punct;,;;
Atlasonar;nkee-s;Atlason;;
,;punct;,;;
Úlfssonar;nkee-s;Úlfsson;;
hins;fakee;hinn;;
skjálga;nkee;skjálgi;;
er;ct;er;;
nam;sfg3eþ;nema;;
Reykjanes;nhen-s;Reykjanes;;
,;punct;,;;
Högnasonar;nkee-s;Högnason;;
hins;gkee;hinn;;
hvíta;lkeevf;hvítur;;
,;punct;,;;
Ótryggssonar;nkee-s;Ótryggsson;;
,;punct;,;;
Óblauðssonar;nkee-s;Óblauðsson;;
,;punct;,;;
Hjörleifssonar;nkee-s;Hjörleifsson;;
konungs;nkee;konungur;;
.;punct;.;;
Þorgerður;nven-s;Þorgerður;;
hét;sfg3eþ;heita;;
móðir;nven;móðir;;
þeirra;fpkfe;hann;;
Þorgils;nkee-s;Þorgils;;
og;c;og;;
Illuga;nkee-s;Illugi;;
.;punct;.;;
Hún;fpven;hún;;
var;sfg3eþ;vera;;
dóttir;nven;dóttir;;
Álfs;nkee-s;Álfur;;
úr;aþ;úr;;
Dölum;nkfþ-s;Dalur;;
.;punct;.;;
Móðir;nven;móðir;;
Álfs;nkee-s;Álfur;;
var;sfg3eþ;vera;;
Þórhildur;nven-s;Þórhildur;;
Þorsteinsdóttir;nven-s;Þorsteinsdóttir;;
hins;gkee;hinn;;
rauða;lkeevf;rauður;;
,;punct;,;;
Óleifssonar;nkee-s;Óleifsson;;
hins;gkee;hinn;;
hvíta;lkeevf;hvítur;;
,;punct;,;;
Ingjaldssonar;nkee-s;Ingjaldsson;;
,;punct;,;;
Fróðasonar;nkee-s;Fróðason;;
.;punct;.;;
Móðir;nven;móðir;;
Ingjalds;nkee-s;Ingjaldur;;
var;sfg3eþ;vera;;
Þóra;nven-s;Þóra;;
,;punct;,;;
dóttir;nven;dóttir;;
Sigurðar;nkee-s;Sigurður;;
orms;nkee;ormur;;
í;ao;í;;
auga;nheo;auga;;
.;punct;.;;
Móðir;nven;móðir;;
Sigurðar;nkee-s;Sigurður;;
var;sfg3eþ;vera;;
Áslaug;nven-s;Áslaug;;
,;punct;,;;
dóttir;nven;dóttir;;
Sigurðar;nkee-s;Sigurður;;
Fáfnisbana;nkfe-s;Fáfnisbani;;
.;punct;.;;
Þorgeir;nken-s;Þorgeir;;
Hávarsson;nken-s;Hávarsson;;
var;sfg3eþ;vera;;
systrungur;nken;systrungur;;
Þorgils;nkee-s;Þorgils;;
Arasonar;nkee-s;Arason;;
.;punct;.;;
Þorgeir;nken-s;Þorgeir;;
og;c;og;;
Þormóður;nken-s;Þormóður;;
óxu;sfg3fþ;óxa;;
upp;aa;upp;;
í;aþ;í;;
Ísafirði;nkeþ-s;Ísafjörður;;
og;c;og;;
var;sfg3eþ;vera;;
snemmendis;aa;snemmendis;;
vingan;nven;vingan;;
með;aþ;með;;
þeim;fpkfþ;hann;;
því;fpheþ;það;;
að;c;að;;
þeir;fpkfn;hann;;
voru;sfg3fþ;vera;;
í;aþ;í;;
mörgu;lheþsf;margur;;
skaplíkir;lkfnsf;skaplíkur;;
.;punct;.;;
Snemmendis;aa;snemmendis;;
sagði;sfg3eþ;segja;;
þeim;fpkfþ;hann;;
svo;aa;svo;;
hugur;nken;hugur;;
um;aa;um;;
,;punct;,;;
sem;ct;sem;;
síðar;aam;síðar;;
bar;sfg3eþ;bera;;
raun;nven;raun;;
á;aa;á;;
,;punct;,;;
að;c;að;;
þeir;fpkfn;hann;;
myndu;svg3fþ;munu;;
vopnbitnir;lkfnsf;vopnbitinn;;
verða;sfg3fn;verða;;
því;aa;því;;
að;c;að;;
þeir;fpkfn;hann;;
voru;sfg3fþ;vera;;
ráðnir;sþgkfn;ráða;;
til;ae;til;;
að;cn;að;;
láta;sng;láta;;
sinn;fekeo;sinn;;
hlut;nkeo;hlutur;;
hvergi;aa;hvergi;;
eða;c;eða;;
undir;ao;undir;;
leggja;sfg3fn;leggja;;
við;ao;við;;
hverja;fokfo;hver;;
menn;nkfo;maður;;
sem;ct;sem;;
þeir;fpkfn;hann;;
ættu;svg3fþ;eiga;;
málum;nhfþ;mál;;
að;cn;að;;
skipta;sng;skipta;;
.;punct;.;;
Meir;aam;mjög;;
hugðu;sfg3fþ;hyggja;;
þeir;fpkfn;hann;;
jafnan;aa;jafnan;;
að;aþ;að;;
fremd;nveþ;fremd;;
þessa;fakee;þessi;;
heims;nkee;heimur;;
lífs;nhee;líf;;
en;c;en;;
að;aþ;að;;
dýrð;nveþ;dýrð;;
annars;fokee;annar;;
heims;nkee;heimur;;
fagnaðar;nkee;fagnaður;;
.;punct;.;;
Því;aa;því;;
tóku;sfg3fþ;taka;;
þeir;fpkfn;hann;;
það;faheo;sá;;
ráð;nheo;ráð;;
með;aþ;með;;
fastmælum;nhfþ;fastmæli;;
að;c;að;;
sá;faken;sá;;
þeirra;fpkfe;hann;;
skyldi;svg3eþ;skulu;;
hefna;sng;hefna;;
annars;aa;annars;;
er;sfg3en;vera;;
lengur;aam;lengi;;
lifði;sfg3eþ;lifa;;
.;punct;.;;
En;c;en;;
þó;aa;þó;;
að;c;að;;
þá;aa;þá;;
væru;svg3fþ;vera;;
menn;nkfn;maður;;
kristnir;lkfnsf;kristinn;;
kallaðir;sþgkfn;kalla;;
þá;aa;þá;;
var;sfg3eþ;vera;;
þó;aa;þó;;
í;ao;í;;
þann;fakeo;sá;;
tíð;nkeo;tíð;;
ung;lvensf;ungur;;
kristni;nven;kristni;;
og;c;og;;
mjög;aa;mjög;;
vanger;lkensf;vanger;;
svo;aa;svo;;
að;c;að;;
margir;lkfnsf;margur;;
gneistar;nkfn;gneisti;;
heiðninnar;nveeg;heiðni;;
voru;sfg3fþ;vera;;
þó;aa;þó;;
þá;aa;þá;;
eftir;aa;eftir;;
og;c;og;;
í;aþ;í;;
óvenju;nveþ;óvenja;;
lagðir;sþgkfn;leggja;;
.;punct;.;;
Hafði;sfg3eþ;hafa;;
sú;faven;sá;;
siðvenja;nven;siðvenja;;
verið;ssg;vera;;
höfð;sþgven;hafa;;
frægra;lkfesf;frægur;;
manna;nkfe;maður;;
,;punct;,;;
þeirra;fpkfe;hann;;
er;sfg3en;vera;;
það;fphen;það;;
lögmál;nhfn;lögmál;;
settu;sfg3fþ;setja;;
sín;fphfe;sig;;
í;aa;í;;
milli;ae;milli;;
,;punct;,;;
að;c;að;;
sá;faken;sá;;
skyldi;svg3eþ;skulu;;
annars;fokee;annar;;
hefna;sng;hefna;;
er;sfg3en;vera;;
lengur;aam;lengi;;
lifði;sfg3eþ;lifa;;
.;punct;.;;
Þá;aa;þá;;
skyldu;svg3fþ;skulu;;
þeir;fpkfn;hann;;
ganga;sng;ganga;;
undir;ao;undir;;
þrjú;tfhfo;þrír;;
jarðarmen;nhfo;jarðarmen;;
og;c;og;;
var;sfg3eþ;vera;;
það;fphen;það;;
eiður;nken;eiður;;
þeirra;fphfe;það;;
.;punct;.;;
Sá;faken;sá;;
leikur;nken;leikur;;
var;sfg3eþ;vera;;
á;ao;á;;
þá;faveo;sá;;
lund;nveo;lund;;
að;cn;að;;
rista;sng;rista;;
skyldi;svg3eþ;skulu;;
þrjár;tfvfo;þrír;;
torfur;nvfo;torfa;;
úr;aþ;úr;;
jörðu;nveþ;jörð;;
langar;sfg3en;langa;;
.;punct;.;;
Þeirra;fphfe;það;;
endar;sfg3en;enda;;
skyldu;svg3fþ;skulu;;
allir;fokfn;allur;;
fastir;lkfnsf;fastur;;
í;aþ;í;;
jörðu;nveþ;jörð;;
og;c;og;;
heimta;sng;heimta;;
upp;aa;upp;;
lykkjurnar;nvfog;lykkja;;
svo;aa;svo;;
að;c;að;;
menn;nkfn;maður;;
mættu;svg3fþ;mæta;;
ganga;sng;ganga;;
undir;aa;undir;;
.;punct;.;;
Þann;fakeo;sá;;
leik;nkeo;leikur;;
frömdu;sfg3fþ;fremja;;
þeir;fpkfn;hann;;
Þormóður;nken-s;Þormóður;;
og;c;og;;
Þorgeir;nken-s;Þorgeir;;
í;aþ;í;;
sínum;fehfþ;sinn;;
fastmælum;nhfþ;fastmæli;;
.;punct;.;;
Þormóður;nken-s;Þormóður;;
var;sfg3eþ;vera;;
nokkuru;foheþ;nokkur;;
eldri;lkenvm;gamall;;
en;c;en;;
þó;aa;þó;;
var;sfg3eþ;vera;;
Þorgeir;nken-s;Þorgeir;;
sterkari;lkenvm;sterkur;;
.;punct;.;;
Uppgangur;nken;uppgangur;;
þeirra;fpkfe;hann;;
gerðist;sfm3eþ;gera;;
brátt;aa;brátt;;
mikill;lkensf;mikill;;
.;punct;.;;
Fara;sfg3fn;fara;;
þeir;fpkfn;hann;;
víða;aa;víða;;
um;ao;um;;
héruð;nhfo;hérað;;
og;c;og;;
voru;sfg3fþ;vera;;
eigi;aa;eigi;;
vinsælir;lkfnsf;vinsæll;;
.;punct;.;;
Töldu;sfg3fþ;telja;;
margir;lkfnsf;margur;;
þá;aa;þá;;
ekki;aa;ekki;;
vera;sng;vera;;
jafnaðarmenn;nkfo;jafnaðarmaður;;
.;punct;.;;
Höfðu;sfg3fþ;hafa;;
þeir;fpkfn;hann;;
hald;nheo;hald;;
og;c;og;;
traust;nheo;traust;;
hjá;aþ;hjá;;
feðrum;nkfþ;faðir;;
sínum;fekfþ;sinn;;
sem;ct;sem;;
von;nven;von;;
var;sfg3eþ;vera;;
að;aa;að;;
